Country_code,Country_name
1,AF
3,AL
4,DZ
5,AS
7,AD
8,AO
9,AI
10,AQ
11,AG
12,AR
13,AM
14,AW
17,AU
18,AT
19,AZ
20,BS
21,BH
23,BD
24,BB
26,BY
27,BE
28,BZ
29,BJ
30,BM
31,BT
33,BO
176,BQ
34,BA
35,BW
36,BV
37,BR
38,IO
39,VG
40,BN
41,BG
42,BF
43,BI
47,CV
44,KH
45,CM
46,CA
48,KY
49,CF
50,TD
51,CL
53,CN
33364,HK
149,MO
54,CX
56,CC
57,CO
58,KM
59,CG
60,CK
61,CR
62,HR
63,CU
,CW
64,CY
65,CZ
66,CI
67,KP
68,CD
69,DK
70,DJ
71,DM
72,DO
73,EC
40765,EG
75,SV
76,GQ
77,ER
78,EE
235,SZ
79,ET
81,FK
82,FO
83,FJ
84,FI
85,FR
86,GF
87,PF
88,TF
89,GA
90,GM
92,GE
93,DE
94,GH
95,GI
97,GR
98,GL
99,GD
100,GP
101,GU
103,GT
104,GG
106,GN
105,GW
107,GY
108,HT
109,HM
110,VA
111,HN
113,HU
114,IS
115,IN
116,ID
117,IR
118,IQ
119,IE
120,IM
121,IL
122,IT
123,JM
126,JP
128,JE
130,JO
132,KZ
133,KE
135,KI
137,KW
138,KG
139,LA
140,LV
141,LB
142,LS
144,LR
145,LY
146,LI
147,LT
148,LU
150,MG
152,MW
153,MY
154,MV
155,ML
156,MT
157,MH
158,MQ
159,MR
160,MU
161,YT
162,MX
163,FM
166,MC
167,MN
2647,ME
168,MS
169,MA
170,MZ
171,MM
172,NA
173,NR
175,NP
177,NL
178,NC
179,NZ
180,NI
181,NE
182,NG
183,NU
184,NF
185,MP
186,NO
187,OM
188,PK
189,PW
191,PA
192,PG
194,PY
195,PE
196,PH
197,PN
198,PL
199,PT
200,PR
201,QA
202,KR
165,MD
203,RO
204,RU
205,RW
206,RE
,BL
207,SH
208,KN
209,LC
,MF
210,PM
211,VC
212,WS
213,SM
214,ST
,
215,SA
217,SN
2648,RS
220,SC
221,SL
222,SG
,SX
223,SK
224,SI
225,SB
226,SO
227,ZA
228,GS
,SS
229,ES
231,LK
"91,267",PS
40764,SD
233,SR
234,SJ
236,SE
237,CH
238,SY
239,TJ
240,TH
241,MK
242,TL
243,TG
244,TK
245,TO
246,TT
248,TN
249,TR
250,TM
251,TC
252,TV
253,UG
254,UA
255,AE
256,GB
257,TZ
,UM
258,VI
259,US
260,UY
261,UZ
262,VU
263,VE
264,VN
266,WF
268,EH
269,YE
270,ZM
271,ZW
1242,AX